threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.7,0.294,0.9149,0.7206,0.6346,0.6496,0.6045,0.4176,0.3335,0.2089,147,57,353,613
0.71,0.28,0.9209,0.7254,0.6315,0.647,0.6004,0.404,0.3192,0.2009,140,53,360,617
0.72,0.266,0.9269,0.7308,0.6285,0.6444,0.5964,0.39,0.3048,0.1929,133,49,367,621
0.73,0.236,0.9328,0.7239,0.6207,0.635,0.5844,0.356,0.2728,0.1688,118,45,382,625
0.74,0.21,0.9418,0.7292,0.615,0.6291,0.5759,0.3261,0.2449,0.1518,105,39,395,631
0.75,0.188,0.9478,0.7287,0.61,0.6231,0.5679,0.2989,0.2208,0.1358,94,35,406,635
0.76,0.164,0.9537,0.7257,0.6045,0.6162,0.5589,0.2675,0.194,0.1177,82,31,418,639
0.77,0.136,0.9582,0.7083,0.5978,0.6068,0.5471,0.2282,0.1622,0.0942,68,28,432,642
0.78,0.104,0.9612,0.6667,0.5897,0.5949,0.5326,0.1799,0.1251,0.0652,52,26,448,644
0.79,0.1,0.9672,0.6944,0.5902,0.5966,0.5336,0.1748,0.1207,0.0672,50,22,450,648
0.8,0.086,0.9746,0.7167,0.5883,0.5949,0.5303,0.1536,0.1044,0.0606,43,17,457,653
0.81,0.074,0.9791,0.7255,0.5862,0.5923,0.5266,0.1343,0.0902,0.0531,37,14,463,656
0.82,0.06,0.9851,0.75,0.5841,0.5897,0.5225,0.1111,0.0735,0.0451,30,10,470,660
0.83,0.048,0.9881,0.75,0.5817,0.5863,0.518,0.0902,0.0591,0.0361,24,8,476,662
0.84,0.048,0.9896,0.7742,0.5821,0.5872,0.5188,0.0904,0.0591,0.0376,24,7,476,663
0.85,0.038,0.9925,0.7917,0.5803,0.5846,0.5153,0.0725,0.0469,0.0305,19,5,481,665
0.86,0.028,0.994,0.7778,0.5781,0.5812,0.511,0.0541,0.0347,0.022,14,4,486,666
0.87,0.02,0.9955,0.7692,0.5765,0.5786,0.5078,0.039,0.0248,0.0155,10,3,490,667
0.88,0.012,0.997,0.75,0.5749,0.5761,0.5045,0.0236,0.0149,0.009,6,2,494,668
0.89,0.01,0.9985,0.8333,0.5747,0.5761,0.5043,0.0198,0.0125,0.0085,5,1,495,669
0.9,0.008,0.9985,0.8,0.5742,0.5752,0.5033,0.0158,0.01,0.0065,4,1,496,669
0.91,0.008,0.9985,0.8,0.5742,0.5752,0.5033,0.0158,0.01,0.0065,4,1,496,669
0.92,0.004,0.9985,0.6667,0.5733,0.5735,0.5013,0.008,0.005,0.0025,2,1,498,669
0.93,0.0,1.0,0.0,0.5726,0.5726,0.5,0.0,0.0,0.0,0,0,500,670
0.94,0.0,1.0,0.0,0.5726,0.5726,0.5,0.0,0.0,0.0,0,0,500,670
0.95,0.0,1.0,0.0,0.5726,0.5726,0.5,0.0,0.0,0.0,0,0,500,670
